RouteName;Direction;TFLSequence;BusStopCode;FirstLast
102;1;55;75605;
N279;2;26;77297;
43;2;2;77771;
233;2;29;74730;
H91;2;24;47965;
185;1;37;54141;
N41;1;10;75412;
32;2;5;72288;
181;2;2;53330;
410;2;6;77725;
61;2;38;56474;
H12;2;44;51946;
407;2;41;47695;
N89;1;91;48774;
57;2;33;52851;
N21;2;40;58792;
232;1;52;54153;
66;1;21;71903;
444;2;27;55501;
300;2;19;52609;
N41;1;14;54519;
254;2;21;57766;
260;2;9;52866;
W3;2;14;52093;
153;1;29;52701;
N89;2;33;72040;
60;1;4;72820;
229;2;56;73162;
492;1;57;71389;
E7;1;29;47111;
223;1;21;55758;
181;1;25;74701;
S3;2;30;77909;
R4;2;10;52742;
45;1;30;50607;
314;2;33;47453;
343;1;19;51361;
N63;1;3;58025;
197;2;31;73563;
D8;1;1;91348;FIRST
198;2;20;50721;
273;2;31;73811;
N253;1;6;51737;
107;1;26;76791;
R70;2;15;91391;
44;1;33;72515;
W14;1;32;55915;
326;2;15;73949;
460;1;29;51907;
469;1;35;58387;
DF2;1;10;55877;LAST
194;1;48;55639;
66;2;20;57874;
288;2;8;71350;
390;2;23;51067;
365;2;14;47576;
N68;1;44;72543;
320;1;48;52180;
108;2;33;56149;LAST
175;1;16;47874;
185;2;50;50838;
205;1;32;47908;
W19;2;24;76508;
343;2;15;48180;
252;2;28;76283;
N41;1;20;48461;
77;1;42;74220;
476;2;19;72351;
R7;1;18;71448;
699;1;11;76457;
N7;1;32;53898;
156;1;27;72146;
320;1;29;55154;
N31;2;25;74209;
115;1;18;77940;
N15;1;50;49899;
185;1;42;77245;
131;2;5;72538;
N207;2;20;51009;
667;1;21;73529;
T31;1;19;76028;
6;2;30;50465;
R6;2;21;49769;
P5;1;22;52526;
253;1;42;51298;
P4;2;6;71012;
95;2;22;58487;
628;1;11;53736;
249;1;1;91399;FIRST
169;1;5;49366;
138;1;11;47116;
B12;2;29;74484;
U4;1;16;51758;
U2;1;25;71576;LAST
N47;1;36;54384;
46;2;23;57868;
160;2;15;47749;
363;1;9;71488;
N26;1;35;76541;
178;1;5;52642;
118;2;3;51554;
83;1;47;47328;
423;2;28;58656;
192;1;23;50394;
R70;2;8;77353;
N8;1;84;54427;
156;1;32;73628;
472;2;27;76834;
N171;2;8;55837;
R1;1;41;52237;LAST
252;2;36;76065;
R70;2;16;50039;
198;2;24;50493;
212;2;16;56479;
163;2;13;57612;
200;1;15;76832;
116;1;21;73093;
185;2;38;71940;
248;1;35;51856;
201;1;13;52765;
44;1;3;57710;
629;1;32;71938;
N279;1;34;57704;
679;2;27;75811;
195;1;53;48022;
205;2;12;48268;
29;1;5;52618;
96;1;17;58030;
230;2;6;54431;
H98;2;15;54381;
33;2;42;58721;
N279;1;24;75611;
410;2;48;55433;
N64;2;48;52599;
237;2;12;59548;
W4;1;8;59490;
195;2;28;71686;
127;1;1;55791;FIRST
144;2;14;48536;
D3;2;18;73708;
H12;1;41;76092;
115;2;5;55147;
427;1;34;72294;
405;2;43;53478;
183;2;26;71552;
406;2;35;53378;
E11;2;2;71884;
496;1;10;76970;
W15;2;14;55405;
N73;1;38;74774;
455;2;47;73509;
93;2;3;47470;
122;2;11;59347;
455;1;14;51202;
184;1;4;53121;
103;1;5;76219;
29;2;10;76306;
157;2;15;56629;
208;1;1;57068;FIRST
236;2;12;91342;
434;1;10;91856;
N133;2;5;74939;
45;1;2;54174;
B16;1;49;92007;
2;1;34;56165;
274;1;34;75334;
297;1;41;58067;
269;1;44;50876;LAST
54;2;36;77260;
S3;2;17;91278;
16;2;28;56416;
N31;1;13;54877;
4;2;39;72121;
135;2;34;77930;
N16;2;22;75729;
40;2;9;74034;
336;2;21;76390;
H19;1;21;77329;
K1;1;3;49508;
131;2;29;55597;
193;1;1;74941;FIRST
329;2;20;58337;
111;1;18;72872;
N38;2;4;77064;
W4;1;16;57427;
288;1;7;53947;
407;1;59;47761;
182;1;7;72959;
341;2;5;71234;
51;2;53;50878;
158;1;34;72050;
N13;1;1;71462;FIRST
W14;1;21;49044;
347;1;27;77143;
N26;2;17;59510;
481;2;32;52935;
406;2;25;55662;
82;1;11;53299;
45;1;7;55860;
261;2;40;72518;
632;2;2;52363;
N86;1;25;57406;
384;1;4;48023;
R3;2;46;98260;
46;2;41;58958;
203;1;20;53871;
206;1;2;77648;
37;2;16;55324;
358;1;7;57085;
281;1;21;55719;
N171;2;26;74437;
347;2;20;58529;
N8;2;78;76296;LAST
1;1;28;58011;
34;1;32;51213;
N205;1;44;48288;
476;1;36;59093;
S1;1;18;51992;
N89;1;29;72442;
406;2;6;57719;
223;1;24;57287;
194;1;44;76175;
86;2;34;71678;
422;1;22;57526;
B16;2;18;54499;
390;2;37;51129;
691;2;15;54914;
279;1;19;47398;
R1;1;31;57456;
219;1;31;73062;
83;1;42;57371;
159;2;1;52057;FIRST
688;2;27;74909;
345;2;15;55652;
382;2;1;92036;FIRST
N550;1;25;53825;
656;2;10;53876;
470;1;39;54655;
R70;2;1;48415;FIRST
RV1;2;13;71997;
36;1;9;51547;
D3;2;32;73470;
355;2;15;71302;
397;2;22;47359;
N279;2;30;50880;
72;2;6;76479;
N44;1;27;54182;
362;1;6;76562;
N136;1;49;71571;
62;1;2;49063;
248;1;20;76052;
319;1;6;73442;
113;1;1;76800;FIRST
227;2;19;56020;
N41;2;8;47192;
415;2;2;77701;
376;1;35;71734;
116;2;6;76236;
136;1;31;50126;
X68;2;27;48276;
22;2;18;54955;
186;2;38;47102;
273;2;54;51090;
613;2;10;55370;
488;2;2;49081;
50;1;37;75485;
B16;2;32;58225;
189;2;23;71695;
642;1;19;77340;
252;1;19;75538;
R7;2;18;52384;
78;2;13;58717;
56;1;33;56306;
313;1;23;55384;
13;2;32;54310;
N3;1;87;55298;
R1;1;29;73555;
171;2;7;55837;
76;2;36;72616;
453;1;32;53402;
245;1;24;56483;
698;2;3;53800;
N5;2;58;53977;
10;1;23;50908;
315;2;3;50355;
292;1;29;47938;
74;2;31;91339;
498;2;22;53088;
252;2;25;49501;
295;2;18;56521;
133;1;29;72096;
N207;2;79;53715;
248;1;23;58529;
N64;2;13;55515;
81;2;18;76293;
70;1;33;71221;
217;2;24;57047;
N73;2;53;51664;
98;2;23;54910;
643;2;11;57234;
127;2;47;57001;
83;1;59;72153;
N9;2;21;54149;
E8;2;18;59011;
E7;2;27;72451;
89;1;45;55766;
188;1;35;72318;
488;1;7;55653;
325;1;30;57214;
254;2;18;74185;
422;2;46;55232;
52;2;33;57926;
463;1;21;74788;
183;1;13;54618;
202;2;5;59288;
N3;1;17;57752;
290;2;40;76352;
17;2;18;52861;
79;2;25;72458;
50;1;30;47311;
139;2;22;75628;
233;2;37;50073;
37;2;17;52643;
606;2;24;72171;
662;1;19;52784;
80;1;27;74828;
327;2;6;51386;LAST
344;2;9;72236;
50;1;40;55760;
663;1;6;48057;
243;2;29;47120;
375;2;26;48610;
79;2;2;51486;
7;1;2;49434;
172;1;32;72877;
30;2;18;58829;
R68;1;47;76116;
55;1;42;52291;
R68;1;16;71932;
51;1;49;48772;
436;2;27;53278;
122;2;17;71069;
148;1;23;47452;
131;1;17;54275;
71;2;20;77265;
277;1;3;50833;
R11;2;13;76484;
W10;2;9;98139;
341;2;28;47253;
699;2;29;49388;
469;1;23;51688;
263;2;34;76710;
166;2;22;49961;
195;2;27;53338;
258;2;30;74156;
N47;1;24;73142;
427;2;44;77017;
C2;1;28;50337;
177;2;17;76601;
165;1;15;73734;
313;1;8;58536;
67;2;6;54814;
115;1;21;54110;
257;1;10;52957;
N550;2;54;48756;
N55;1;52;53018;
233;1;8;49705;
294;2;1;74198;FIRST
